"zone","state","lga","sector","ea","hhid","s9q29a","s9q29b","s9q29c","s9q30a","s9q30b","s9q30c"
2,2,212,2,956,20053,,,,81,71,72
2,2,212,2,956,20054,,,,81,82,83
2,2,212,2,956,20055,,,,81,82,83
2,2,212,2,956,20056,,,,31,61,81
2,2,212,2,956,20057,,,,71,72,81
2,2,212,2,956,20058,,,,91,61,81
2,2,212,2,956,20059,,,,81,82,83
2,2,212,2,956,20060,,,,31,61,101
2,2,210,2,1300,20061,61,81,91,,,
2,2,210,2,1300,20062,61,81,91,,,
2,2,210,2,1300,20063,11,31,61,,,
2,2,210,2,1300,20064,,,,81,82,83
2,2,210,2,1300,20065,81,82,83,,,
2,2,210,2,1300,20066,81,82,83,,,
6,24,2404,1,0,20067,62,83,71,,,
2,2,210,2,1300,20068,,,,31,11,101
2,2,210,2,1300,20069,71,,,,,
2,2,210,2,1300,20070,83,81,,,,
2,2,214,2,898,20071,91,61,81,,,
2,2,214,2,898,20072,,,,71,101,102
2,2,214,2,898,20073,61,62,63,,,
2,2,214,2,898,20074,,,,73,74,72
2,2,214,2,898,20075,61,21,,,,
2,2,214,2,898,20076,71,101,,,,
2,2,214,2,898,20077,11,31,,,,
2,2,214,2,898,20078,82,83,102,,,
2,2,214,2,898,20080,73,83,,,,
2,2,215,1,8,20081,61,81,91,,,
2,2,215,1,8,20082,72,83,,,,
2,2,215,1,8,20083,11,31,83,,,
2,2,215,1,8,20084,,,,73,71,72
