"zone","state","lga","sector","ea","hhid","plotid","s11aq4a","s11aq4b","s11aq4c","s11aq4d","s11aq5c","s11aq6"
4,1,117,2,560,10076,5,,,,265.1,905,1
4,1,117,2,560,10077,1,120,1,,102.2,701,1
4,1,117,2,560,10077,2,100,1,,90.8,702,1
4,1,117,2,560,10078,1,2000,1,,187.3,201,1
4,1,117,2,560,10078,2,2000,1,,394.4,202,1
4,1,117,2,560,10079,1,800,1,,39.7,801,2
4,1,117,2,560,10079,2,1500,1,,124.9,802,2
4,1,117,2,560,10079,3,1000,1,,110.7,803,2
4,1,117,2,560,10079,4,900,,,53.9,804,2
4,1,117,2,560,10080,1,800,1,,90.8,1001,1
4,1,117,2,560,10080,2,800,1,,85.1,1002,1
4,1,117,2,560,10080,3,600,1,,59.6,1003,1
4,1,117,2,560,10080,4,300,1,,17,1004,1
4,1,110,2,76,10081,1,586,1,,692.6,1901,1
4,1,110,2,76,10081,2,120,1,,85.2,1902,1
4,1,110,2,76,10081,3,,,,1654.8,1903,1
4,1,110,2,76,10082,1,750,1,,847.8,101,1
4,1,110,2,76,10082,2,1561,1,,1521.4,102,1
4,1,110,2,76,10082,3,455,1,,570.5,103,1
4,1,110,2,76,10084,1,1500,3,,1087.1,2501,1
4,1,110,2,76,10084,2,450,3,,334.9,2502,1
4,1,110,2,76,10084,3,340,3,,286.7,2503,1
4,1,110,2,76,10085,1,300,1,,343.4,701,1
4,1,110,2,76,10085,2,400,3,,479.7,702,1
4,1,110,2,76,10086,1,1000,1,,814.6,1601,2
4,1,110,2,76,10087,1,1200,1,,283.8,4001,1
4,1,110,2,76,10087,2,1000,1,,110.1,4002,1
4,1,110,2,76,10087,3,1100,1,,292.4,4003,1
4,1,110,2,76,10087,4,1100,3,,94.5,4004,1
4,1,110,2,76,10088,1,1000,1,,943.4,1001,2
4,1,110,2,76,10088,2,980,1,,678.4,1002,2
4,1,110,2,76,10088,3,900,1,,1044.5,1003,2
4,1,105,2,638,10091,1,2000,1,,186.2,1801,1
4,1,105,2,638,10091,2,2000,1,,2738.1,1802,1
4,1,105,2,638,10091,3,2000,1,,852.1,1803,1
4,1,105,2,638,10092,1,1000,1,,164.7,1101,1
4,1,105,2,638,10092,2,800,1,,150.5,1102,1
4,1,105,2,638,10093,1,1000,1,,397.6,201,1
4,1,105,2,638,10094,1,1000,1,,116.5,701,1
4,1,105,2,638,10094,2,1200,1,,741.3,702,1
4,1,105,2,638,10094,3,1200,1,,1008.3,703,1
4,1,105,2,638,10095,1,640,,,534.8,1301,1
4,1,105,2,638,10095,2,25,,,244.3,1301,1
4,1,105,2,638,10096,1,840,1,,536.8,501,2
4,1,105,2,638,10096,2,70,3,,372.1,502,2
4,1,105,2,638,10096,3,486,1,,386.3,503,3
4,1,105,2,638,10096,4,3100,1,,249.4,504,3
4,1,105,2,638,10096,5,1032,1,,690.2,505,3
4,1,105,2,638,10097,1,270,1,,321,1401,2
4,1,105,2,638,10097,2,115,1,,531.1,1402,2
4,1,105,2,638,10099,1,500,3,,514.1,401,1
4,1,105,2,638,10099,2,3000,3,,2968.1,402,1
4,1,105,2,638,10099,3,200,3,,79.5,403,1
4,1,105,2,638,10100,1,2540,1,,1474.1,1701,2
4,1,105,2,638,10100,2,800,1,,355,1702,2
4,1,108,2,904,10102,1,120,1,,1226.3,1201,1
4,1,108,2,904,10102,2,100,1,,496.98,1202,1
4,1,108,2,904,10102,3,130,1,,493.9,1203,1
4,1,108,2,904,10102,4,,,,766.4,1204,1
4,1,108,2,904,10103,1,950,1,,283.9,2301,1
4,1,108,2,904,10103,2,1000,1,,272.5,2302,1
4,1,108,2,904,10103,3,870,1,,715.3,2303,1
